feature,importance
name_fuzz_token_set,0.4588381806048152
sim_bge_nameaddr,0.14805987809102159
name_nameaddr_product,0.05242605501457704
name_levenshtein,0.04364356650119039
confidence_diff,0.03340819044212332
name_fuzz_token_sort,0.02728863789528958
sim_nameaddr_avg,0.02510824564216952
fuzz_bge_product,0.021134344029623033
name_fuzz_partial,0.02108214411573902
sim_minilm_nameaddr,0.02020879166444835
sim_bge_name,0.018782173424330657
addr_fuzz_ratio,0.017890134609117522
ensemble_name_product,0.015278939003077568
sim_minilm_name,0.015078392892844829
sim_name_avg,0.013846255757829896
avg_confidence,0.012840305345021326
sim_e5_name,0.010857145154945898
sim_name_max,0.009070071326939178
name_fuzz_ratio,0.008420999722086785
any_contact_match,0.00787389710972506
same_phone,0.006112650278739196
min_confidence,0.005399004576328411
same_website_domain,0.002833884373861308
both_contacts_match,0.0013586388316054498
website_and_high_sim,0.0009775215900855404
high_name_sim,0.0008011855930620318
phone_and_high_sim,0.0007138147583114348
exact_name_match,0.0005527825292354291
high_nameaddr_sim,0.00010713393682048248
both_high_confidence,7.035185034698267e-06
